_dow,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23
Fri,12.0,7.0,3.0,5.0,3.0,6.0,6.0,12.0,1.0,5.0,7.0,4.0,4.0,10.0,11.0,6.0,1.0,2.0,6.0,3.0,,8.0,
Mon,6.0,7.0,3.0,9.0,2.0,3.0,6.0,7.0,6.0,8.0,1.0,5.0,4.0,2.0,8.0,7.0,9.0,8.0,2.0,8.0,3.0,8.0,5.0
Sun,,,,,,,,,,,,,,,,,,,,,,,5.0
Thu,3.0,8.0,2.0,2.0,7.0,4.0,3.0,3.0,5.0,3.0,6.0,2.0,4.0,10.0,2.0,10.0,4.0,6.0,7.0,6.0,5.0,5.0,1.0
Tue,8.0,10.0,1.0,5.0,1.0,5.0,3.0,4.0,4.0,15.0,3.0,4.0,7.0,6.0,11.0,2.0,10.0,5.0,3.0,9.0,4.0,6.0,7.0
Wed,6.0,14.0,8.0,8.0,2.0,8.0,11.0,10.0,2.0,4.0,9.0,6.0,2.0,8.0,3.0,8.0,7.0,8.0,4.0,5.0,6.0,5.0,5.0
