_dow,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23
Fri,-84.40999999999997,-527.85,,-770.0,161.2,-1011.61,,-654.12,141.7,-1078.66,-2098.83,1650.35,1372.75,3566.3599999999997,-1595.34,-1560.67,,,-1158.1599999999999,4092.14,,-4242.95,
Mon,-312.8000000000002,-2011.75,-507.31,-123.21999999999986,776.8799999999999,1938.64,-1770.7,1083.48,-1543.77,2653.62,24.19,-996.31,1924.65,2501.62,3605.56,2539.26,-154.45000000000002,1329.3700000000001,-1060.26,-2508.15,-754.86,-2601.68,2196.3
Sun,,,,,,,,,,,,,,,,,,,,,,,2489.76
Thu,2488.21,267.96,-477.36,-504.9,184.45,2500.44,,1392.2,,588.72,1170.57,,1024.98,-1041.48,-500.48,81.12,-983.2,1274.8500000000001,-1034.02,,,578.3199999999999,
Tue,-2837.72,2894.38,-493.5,-1488.28,31.68,-1729.8799999999999,-436.08,765.94,-1064.77,241.66000000000008,-503.88,-630.14,-2011.52,2155.76,-1282.8000000000002,1548.77,905.3,-2502.29,-1013.52,3002.4,908.42,1418.3000000000002,2198.3999999999996
Wed,-60.680000000000064,-1393.1100000000001,2921.9300000000003,-2200.93,11.099999999999966,2468.85,-1934.71,2393.54,,-510.24,5998.58,714.88,,-3551.03,-503.84,-2971.73,3770.2,-2662.23,-328.25,-492.2,,,-506.4
