OpenTime,Position,Symbol,Type,Volume,OpenPrice,S / L,T / P,CloseTime,ClosePrice,Commission,Swap,Profit,Comment,_open_dt,_close_dt,_pnl,_strategy,_hold_minutes,CumPnL,Equity,Drawdown_pct
2025.12.26 01:09:06,1381439207,XAUUSD,sell,0.06,4 523.31,4 515.90,4 507.31,2025.12.26 01:21:52,4 515.67,-0.42,0,45.84,Inv_ATRtrail_pen,2025-12-26 01:09:06,2025-12-26 01:21:52,45.84,ATR-Trailing STRAT,12.766666666666667,45.84,9445.84,-0.0
2025.12.29 00:28:12,1383660283,XAUUSD,buy,0.13,4 483.78,4 478.16,4 493.12,2025.12.29 00:30:14,4 477.08,-0.92,0,-87.1,Inv_ATRtrail_pen,2025-12-29 00:28:12,2025-12-29 00:30:14,-87.1,ATR-Trailing STRAT,2.033333333333333,-41.25999999999999,9358.74,-0.9265957446808548
2025.12.29 00:28:12,1383660317,XAUUSD,buy,0.05,4 483.88,4 465.77,4 503.09,2025.12.29 00:40:55,4 503.12,-0.36,0,96.2,Inv_Chandelier_p,2025-12-29 00:28:12,2025-12-29 00:40:55,96.2,Chandelier STRAT,12.716666666666667,54.94000000000001,9454.94,-0.0
2025.12.29 13:15:22,1384908225,XAUUSD,buy,0.09,4 455.44,4 454.89,4 466.85,2025.12.29 13:20:02,4 454.51,-0.64,0,-8.37,Inv_ATRtrail_pen,2025-12-29 13:15:22,2025-12-29 13:20:02,-8.37,ATR-Trailing STRAT,4.666666666666667,46.570000000000014,9446.57,-0.08904255319149788
2025.12.29 13:57:25,1385017115,XAUUSD,sell,0.07,4 416.23,4 416.36,4 402.00,2025.12.29 14:03:24,4 401.92,-0.5,0,100.17,Inv_ATRtrail_pen,2025-12-29 13:57:25,2025-12-29 14:03:24,100.17,ATR-Trailing STRAT,5.983333333333333,146.74,9546.74,-0.0
2025.12.31 14:00:10,1389017443,XAUUSD,sell,0.13,4 348.52,4 355.02,4 340.54,2025.12.31 14:02:04,4 340.52,-0.92,0,104.0,Inv_Chandelier_p,2025-12-31 14:00:10,2025-12-31 14:02:04,104.0,Chandelier STRAT,1.9,250.74,9650.74,-0.0
2026.01.05 08:45:22,1392950496,XAUUSD,sell,0.21,4 431.72,4 428.11,4 426.74,2026.01.05 09:03:25,4 428.13,-1.48,0,75.39,Inv_Chandelier_p,2026-01-05 08:45:22,2026-01-05 09:03:25,75.39,Chandelier STRAT,18.05,326.13,9726.13,-0.0
2026.01.06 10:09:28,1395236532,XAUUSD,sell,0.18,4 449.55,4 454.57,4 444.01,2026.01.06 10:36:51,4 454.72,-1.26,0,-93.06,Inv_Chandelier_p,2026-01-06 10:09:28,2026-01-06 10:36:51,-93.06,Chandelier STRAT,27.383333333333333,233.07,9633.07,-0.9899999999999946
2026.01.06 15:22:29,1395819040,XAUUSD,buy,0.1,4 476.14,4 466.73,4 485.97,2026.01.06 15:34:27,4 466.76,-0.7,0,-93.8,Inv_Chandelier_p,2026-01-06 15:22:29,2026-01-06 15:34:27,-93.8,Chandelier STRAT,11.966666666666667,139.26999999999998,9539.27,-1.987872340425519
2026.01.07 06:46:23,1396964633,XAUUSD,sell,0.13,4 443.42,4 450.79,4 435.57,2026.01.07 06:52:19,4 450.77,-0.92,0,-95.55,Inv_Chandelier_p,2026-01-07 06:46:23,2026-01-07 06:52:19,-95.55,Chandelier STRAT,5.933333333333334,43.719999999999985,9443.72,-3.004361702127658
2026.01.07 06:46:32,1396964370,XAUUSD,sell,0.13,4 444.28,4 446.09,4 437.60,2026.01.07 07:01:03,4 446.05,-0.92,0,-23.01,Inv_ATRtrail_pen,2026-01-07 06:46:32,2026-01-07 07:01:03,-23.01,ATR-Trailing STRAT,14.516666666666667,20.709999999999983,9420.71,-3.2491489361702137
2026.01.07 09:07:59,1397141591,XAUUSD,buy,0.22,4 460.74,4 456.64,4 465.10,2026.01.07 09:11:54,4 465.26,-1.54,0,99.44,Inv_Chandelier_p,2026-01-07 09:07:59,2026-01-07 09:11:54,99.44,Chandelier STRAT,3.9166666666666665,120.14999999999998,9520.15,-2.191276595744676
2026.01.07 09:08:03,1397141573,XAUUSD,buy,0.23,4 459.79,4 459.55,4 463.84,2026.01.07 09:10:56,4 464.16,-1.62,0,100.51,Inv_ATRtrail_pen,2026-01-07 09:08:03,2026-01-07 09:10:56,100.51,ATR-Trailing STRAT,2.8833333333333333,220.65999999999997,9620.66,-1.1220212765957378
2026.01.08 12:06:46,1399453040,XAUUSD,sell,0.23,4 416.16,4 416.32,4 411.84,2026.01.08 12:15:08,4 412.01,-1.62,0,95.45,Inv_ATRtrail_pen,2026-01-08 12:06:46,2026-01-08 12:15:08,95.45,ATR-Trailing STRAT,8.366666666666667,316.10999999999996,9716.11,-0.10659574468083635
2026.01.08 12:06:46,1399453086,XAUUSD,sell,0.1,4 416.06,4 412.50,4 405.06,2026.01.08 12:17:35,4 412.59,-0.7,0,34.7,Inv_Chandelier_p,2026-01-08 12:06:46,2026-01-08 12:17:35,34.7,Chandelier STRAT,10.816666666666666,350.80999999999995,9750.81,-0.0
2026.01.08 12:35:20,1399513681,XAUUSD,buy,0.17,4 422.90,4 426.33,4 428.78,2026.01.08 12:41:10,4 428.87,-1.2,0,101.49,Inv_Chandelier_p,2026-01-08 12:35:20,2026-01-08 12:41:10,101.49,Chandelier STRAT,5.833333333333333,452.29999999999995,9852.3,-0.0
2026.01.08 13:05:19,1399564502,XAUUSD,buy,0.13,4 422.41,4 425.58,4 430.12,2026.01.08 13:18:38,4 425.42,-0.92,0,39.13,Inv_Chandelier_p,2026-01-08 13:05:19,2026-01-08 13:18:38,39.13,Chandelier STRAT,13.316666666666666,491.42999999999995,9891.43,-0.0
2026.01.08 13:05:27,1399564478,XAUUSD,buy,0.13,4 421.42,4 424.29,4 429.10,2026.01.08 13:20:37,4 429.09,-0.92,0,99.71,Inv_ATRtrail_pen,2026-01-08 13:05:27,2026-01-08 13:20:37,99.71,ATR-Trailing STRAT,15.166666666666666,591.14,9991.14,-0.0
2026.01.08 17:02:04,1400149782,XAUUSD,sell,0.21,4 465.13,4 461.60,4 460.15,2026.01.08 17:05:39,4 459.83,-1.48,0,111.3,Inv_Chandelier_p,2026-01-08 17:02:04,2026-01-08 17:05:39,111.3,Chandelier STRAT,3.5833333333333335,702.4399999999999,10102.44,-0.0
2026.01.09 13:35:14,1401680645,XAUUSD,sell,0.05,4 488.07,4 483.07,4 468.42,2026.01.09 14:06:25,4 483.44,-0.36,0,23.15,Inv_Chandelier_p,2026-01-09 13:35:14,2026-01-09 14:06:25,23.15,Chandelier STRAT,31.183333333333334,725.5899999999999,10125.59,-0.0
2026.01.09 13:37:55,1401680630,XAUUSD,sell,0.05,4 489.48,4 484.91,4 469.37,2026.01.09 13:53:06,4 484.89,-0.36,0,22.95,Inv_ATRtrail_pen,2026-01-09 13:37:55,2026-01-09 13:53:06,22.95,ATR-Trailing STRAT,15.183333333333334,748.54,10148.54,-0.0
2026.01.09 13:42:24,1401711007,XAUUSD,buy,0.08,4 485.20,4 483.73,4 497.12,2026.01.09 13:48:04,4 483.64,-0.56,0,-12.48,Inv_Chandelier_p,2026-01-09 13:42:24,2026-01-09 13:48:04,-12.48,Chandelier STRAT,5.666666666666667,736.06,10136.06,-0.13276595744682324
