_dow,0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,23
Fri,-187.07999999999998,148.51,,,-126.72,,100.91999999999999,533.22,-666.16,,,,238.35000000000002,165.70999999999998,278.72,,164.06,,,
Mon,-421.76,-109.86,,42.24,,,-204.66,-225.05,,,,,-32.519999999999996,305.51,,-214.65,,166.4,,-199.88
Sun,,,,,,,,,,,,,,,,,,,,-146.25
Thu,,301.08,-212.3,-0.9600000000000009,96.74,-33.95,-30.36,104.51,196.8,-0.7199999999999989,,377.5,-22.390000000000022,494.11,-0.4200000000000159,152.24,125.39,,,-247.38
Tue,73.81,-95.00999999999999,,0.14999999999999947,105.45,,-139.53,103.71,109.82000000000001,-93.06,,-2.88,,286.01,-81.66,,-32.279999999999994,,228.5,
Wed,-190.86,107.83,,,,203.55,-18.89,116.6,199.95,87.78,252.04000000000002,-198.96,-71.57999999999998,94.58000000000001,-236.42,,,,,-502.74
