_dow,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,23
Fri,,0.45840000000000003,,,,,,,,,2.3835,1.6570999999999998,2.7872000000000003,,1.6406,
Mon,-1.8953000000000002,,,,,-0.21700000000000005,,,,,-5.1815,0.6335000000000002,,,,
Sun,,,,,,,,,,,,,,,,1.8119
Thu,,0.366,0.9674,-0.7035,-0.3036,,1.1712,,,2.3164,1.2770999999999997,4.9411000000000005,-0.2919,0.9143999999999999,1.113,
Tue,,-0.9501,1.0545,,,,,-0.9306,,,,-0.015,-0.938,,,
Wed,-1.9086000000000003,0.9418000000000001,,1.7244,2.0694,1.166,1.9994999999999998,0.8777999999999999,0.9408,,,0.9458000000000001,,,,-2.2524
